customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
CUST0000,Male,0,Yes,No,51,Yes,No,Month-to-month,91.3,4656.3,Yes
CUST0001,Female,0,Yes,Yes,71,Yes,No,Two year,47.35,3361.85,No
CUST0002,Male,1,Yes,No,48,Yes,Fiber optic,Month-to-month,32.16,1543.68,No
CUST0003,Male,0,No,Yes,19,No,DSL,One year,75.61,1436.59,No
CUST0004,Male,1,Yes,Yes,6,Yes,No,Two year,52.7,316.2,Yes
CUST0005,Female,0,No,Yes,27,No,DSL,Month-to-month,64.25,1734.75,No
CUST0006,Male,0,No,No,53,No,No,Month-to-month,84.69,4488.57,No
CUST0007,Male,1,Yes,Yes,48,Yes,Fiber optic,Month-to-month,69.41,3331.68,No
CUST0008,Male,0,Yes,No,7,Yes,DSL,Month-to-month,82.03,574.21,Yes
CUST0009,Female,0,No,Yes,59,Yes,DSL,One year,74.42,4390.78,No
CUST0010,Male,0,No,No,69,No,No,Month-to-month,93.98,6484.62,No
CUST0011,Male,1,Yes,Yes,11,No,DSL,One year,90.59,996.49,No
CUST0012,Male,1,Yes,No,15,Yes,No,One year,73.42,1101.3,No
CUST0013,Male,0,Yes,No,64,No,Fiber optic,One year,87.89,5624.96,No
CUST0014,Female,0,No,No,3,Yes,DSL,Two year,107.36,322.08,No
CUST0015,Male,1,No,No,69,Yes,No,One year,63.23,4362.87,No
CUST0016,Female,0,No,No,23,No,DSL,Month-to-month,61.28,1409.44,Yes
CUST0017,Female,0,No,No,53,No,No,Two year,96.42,5110.26,No
CUST0018,Female,1,No,Yes,37,No,No,Month-to-month,78.26,2895.62,Yes
CUST0019,Male,0,Yes,No,9,No,No,One year,27.1,243.9,Yes
CUST0020,Female,0,Yes,No,15,Yes,Fiber optic,Month-to-month,109.21,1638.15,No
CUST0021,Male,0,No,No,3,Yes,DSL,Two year,23.08,69.24,Yes
CUST0022,Female,1,No,Yes,70,Yes,Fiber optic,Two year,94.84,6638.8,No
CUST0023,Female,1,Yes,Yes,17,No,No,Month-to-month,95.88,1629.96,No
CUST0024,Female,1,Yes,Yes,26,Yes,No,Month-to-month,115.31,2998.06,Yes
CUST0025,Female,0,Yes,No,21,No,Fiber optic,Month-to-month,25.41,533.61,No
CUST0026,Female,1,Yes,Yes,21,No,Fiber optic,Two year,79.69,1673.49,No
CUST0027,Female,1,No,Yes,11,No,DSL,One year,62.78,690.58,No
CUST0028,Female,0,Yes,No,38,Yes,No,Month-to-month,53.06,2016.28,No
CUST0029,Female,1,No,No,35,No,Fiber optic,One year,29.03,1016.05,No
CUST0030,Male,0,Yes,Yes,14,No,No,Two year,76.27,1067.78,No
CUST0031,Male,0,Yes,No,14,No,No,Month-to-month,67.9,950.6,Yes
CUST0032,Female,0,Yes,No,10,No,DSL,Month-to-month,30.46,304.6,Yes
CUST0033,Female,0,No,No,12,No,DSL,Two year,81.25,975.0,No
CUST0034,Female,0,No,No,38,No,DSL,Month-to-month,93.8,3564.4,No
CUST0035,Male,0,Yes,Yes,34,No,Fiber optic,One year,96.73,3288.82,No
CUST0036,Female,0,No,No,41,No,No,Two year,110.54,4532.14,No
CUST0037,Male,0,No,Yes,10,No,Fiber optic,Two year,60.95,609.5,Yes
CUST0038,Male,0,Yes,Yes,17,No,Fiber optic,Month-to-month,115.31,1960.27,No
CUST0039,Male,0,Yes,Yes,17,No,DSL,Two year,106.54,1811.18,No
CUST0040,Male,0,No,Yes,67,No,No,Month-to-month,49.65,3326.55,No
CUST0041,Male,0,No,No,62,Yes,No,Month-to-month,35.93,2227.66,No
CUST0042,Female,0,No,No,1,Yes,DSL,Two year,63.54,63.54,No
CUST0043,Female,0,Yes,No,12,No,No,Month-to-month,60.19,722.28,Yes
CUST0044,Female,1,Yes,Yes,4,No,DSL,One year,77.57,310.28,Yes
CUST0045,Female,0,No,Yes,42,No,Fiber optic,One year,78.34,3290.28,No
CUST0046,Female,0,Yes,Yes,13,Yes,Fiber optic,Month-to-month,95.0,1235.0,No
CUST0047,Male,0,Yes,No,4,Yes,DSL,One year,70.99,283.96,No
CUST0048,Female,1,No,Yes,69,Yes,Fiber optic,Month-to-month,30.48,2103.12,No
CUST0049,Female,0,No,No,19,No,Fiber optic,One year,105.83,2010.77,No
CUST0050,Male,1,Yes,No,2,No,DSL,Two year,50.98,101.96,No
CUST0051,Female,0,Yes,No,12,No,Fiber optic,Month-to-month,117.13,1405.56,No
CUST0052,Male,1,No,No,6,No,No,Month-to-month,31.79,190.74,No
CUST0053,Female,0,Yes,Yes,8,Yes,Fiber optic,Month-to-month,115.83,926.64,Yes
CUST0054,Male,1,Yes,No,51,No,DSL,Month-to-month,29.1,1484.1,No
CUST0055,Female,0,No,Yes,11,Yes,No,Month-to-month,43.1,474.1,No
CUST0056,Female,0,No,No,63,Yes,No,Month-to-month,24.66,1553.58,No
CUST0057,Male,0,Yes,Yes,57,No,Fiber optic,Two year,90.51,5159.07,No
CUST0058,Male,0,Yes,Yes,12,Yes,No,Two year,105.03,1260.36,No
CUST0059,Male,0,Yes,No,2,Yes,DSL,One year,63.41,126.82,Yes
CUST0060,Male,1,No,No,8,Yes,No,Month-to-month,112.85,902.8,Yes
CUST0061,Male,1,Yes,No,11,Yes,Fiber optic,One year,79.03,869.33,Yes
CUST0062,Male,0,Yes,Yes,53,No,Fiber optic,One year,83.0,4399.0,No
CUST0063,Male,0,No,No,10,No,No,Two year,104.54,1045.4,No
CUST0064,Male,0,No,No,8,Yes,DSL,One year,49.68,397.44,Yes
CUST0065,Female,0,Yes,Yes,36,No,DSL,Two year,55.43,1995.48,No
CUST0066,Female,0,No,No,14,Yes,Fiber optic,One year,110.6,1548.4,No
CUST0067,Male,0,No,Yes,54,No,Fiber optic,Month-to-month,110.1,5945.4,No
CUST0068,Female,0,Yes,No,21,No,DSL,One year,117.65,2470.65,No
CUST0069,Female,0,No,Yes,50,No,No,Two year,110.18,5509.0,No
CUST0070,Female,0,No,Yes,39,No,No,Two year,32.74,1276.86,No
CUST0071,Female,0,Yes,No,20,No,No,Two year,102.37,2047.4,No
CUST0072,Male,0,No,Yes,7,Yes,No,One year,60.98,426.86,No
CUST0073,Female,0,Yes,No,9,No,DSL,One year,119.08,1071.72,No
CUST0074,Male,1,Yes,No,1,Yes,Fiber optic,Two year,67.23,67.23,No
CUST0075,Female,0,No,Yes,26,Yes,Fiber optic,Month-to-month,75.38,1959.88,No
CUST0076,Female,0,No,No,38,No,No,Month-to-month,72.98,2773.24,Yes
CUST0077,Female,0,No,Yes,38,Yes,DSL,One year,52.17,1982.46,No
CUST0078,Male,0,Yes,Yes,61,No,DSL,One year,27.5,1677.5,No
CUST0079,Female,1,No,Yes,44,Yes,No,Two year,109.57,4821.08,No
CUST0080,Male,0,Yes,Yes,44,Yes,No,One year,100.27,4411.88,No
CUST0081,Female,0,No,Yes,62,No,No,One year,33.95,2104.9,No
CUST0082,Male,0,No,Yes,6,No,Fiber optic,Two year,97.68,586.08,No
CUST0083,Female,1,No,Yes,17,No,No,Two year,82.58,1403.86,No
CUST0084,Male,1,Yes,Yes,51,No,Fiber optic,One year,60.91,3106.41,No
CUST0085,Male,0,No,No,38,Yes,DSL,Month-to-month,45.4,1725.2,No
CUST0086,Female,0,No,No,24,No,DSL,One year,105.97,2543.28,No
CUST0087,Male,0,Yes,Yes,51,Yes,Fiber optic,Month-to-month,90.02,4591.02,Yes
CUST0088,Female,1,Yes,No,10,Yes,Fiber optic,Month-to-month,74.77,747.7,No
CUST0089,Female,0,No,No,21,Yes,Fiber optic,Month-to-month,80.96,1700.16,No
CUST0090,Female,1,No,No,70,Yes,Fiber optic,Two year,29.11,2037.7,No
CUST0091,Female,0,No,No,57,Yes,No,Two year,67.39,3841.23,No
CUST0092,Female,0,Yes,No,39,Yes,DSL,Two year,39.37,1535.43,No
CUST0093,Female,0,Yes,No,33,No,No,One year,40.84,1347.72,No
CUST0094,Female,0,Yes,Yes,59,Yes,Fiber optic,Two year,86.13,5081.67,No
CUST0095,Female,0,Yes,No,18,Yes,No,Two year,111.13,2000.34,No
CUST0096,Female,0,No,No,56,Yes,No,One year,60.38,3381.28,No
CUST0097,Female,0,Yes,No,57,No,DSL,One year,40.77,2323.89,No
CUST0098,Female,0,Yes,No,48,No,No,Month-to-month,84.87,4073.76,No
CUST0099,Male,0,Yes,Yes,42,Yes,DSL,One year,107.12,4499.04,No
CUST0100,Male,0,No,Yes,27,No,Fiber optic,One year,94.83,2560.41,No
CUST0101,Female,1,No,Yes,52,Yes,No,Two year,106.88,5557.76,No
CUST0102,Female,1,Yes,Yes,42,No,Fiber optic,Month-to-month,73.66,3093.72,Yes
CUST0103,Female,1,Yes,No,32,Yes,DSL,Month-to-month,95.19,3046.08,Yes
CUST0104,Female,1,No,Yes,26,No,Fiber optic,One year,34.01,884.26,No
CUST0105,Female,0,No,Yes,25,No,Fiber optic,Two year,54.83,1370.75,No
CUST0106,Female,0,No,Yes,23,No,DSL,Two year,58.95,1355.85,No
CUST0107,Female,0,No,Yes,57,Yes,Fiber optic,Two year,71.13,4054.41,No
CUST0108,Female,0,No,No,52,Yes,Fiber optic,Two year,112.91,5871.32,No
