Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
36,male,3,rent,moderate,rich,10405,11,radio/TV,bad
34,male,2,own,moderate,little,6694,19,car,good
28,female,3,rent,rich,rich,3265,35,education,bad
64,male,2,own,moderate,rich,15153,13,business,good
58,male,3,free,quite rich,rich,7065,59,business,good
66,female,0,own,quite rich,moderate,5114,71,furniture/equipment,good
28,female,2,own,rich,rich,9926,9,business,bad
55,female,1,rent,moderate,rich,4484,65,education,good
58,male,3,own,quite rich,little,14397,58,business,good
67,female,2,own,quite rich,moderate,18973,20,car,bad
69,female,0,rent,little,little,8776,6,domestic appliances,bad
19,female,0,own,rich,moderate,7092,27,business,bad
21,female,0,rent,quite rich,little,2108,20,radio/TV,good
67,female,0,free,quite rich,little,1457,27,radio/TV,good
45,female,2,own,rich,rich,17558,55,domestic appliances,good
50,female,1,free,moderate,rich,19579,53,radio/TV,bad
28,male,3,own,rich,moderate,5679,56,radio/TV,good
20,female,1,own,little,moderate,7841,22,car,good
57,male,3,free,little,moderate,13194,56,car,bad
22,male,1,free,little,rich,6142,42,car,good
69,female,2,rent,quite rich,little,12027,54,business,good
38,male,2,rent,moderate,moderate,6195,64,domestic appliances,bad
39,female,3,free,little,rich,7941,15,radio/TV,good
71,male,2,own,rich,rich,12798,35,furniture/equipment,good
54,female,3,rent,little,little,13923,26,domestic appliances,bad
28,male,1,own,quite rich,little,4277,39,furniture/equipment,good
61,female,2,rent,little,rich,12706,55,radio/TV,bad
39,female,2,rent,moderate,little,4545,52,education,good
58,male,3,rent,little,little,13119,11,domestic appliances,good
70,male,3,free,moderate,rich,4911,55,business,good
30,female,3,own,moderate,moderate,14980,68,furniture/equipment,bad
71,male,3,free,rich,moderate,12284,17,domestic appliances,good
69,female,0,rent,moderate,rich,19032,46,domestic appliances,bad
20,male,3,free,quite rich,moderate,16661,36,car,bad
30,female,0,free,quite rich,rich,12392,7,education,bad
45,male,1,free,moderate,rich,2148,21,car,bad
71,female,3,own,moderate,little,13169,6,education,bad
28,male,0,free,little,moderate,7550,9,education,good
28,female,0,free,little,rich,2677,52,business,good
38,male,0,free,rich,moderate,1875,70,domestic appliances,good
69,female,2,free,little,moderate,11017,57,car,bad
38,male,0,free,quite rich,moderate,18670,52,car,good
24,male,3,free,little,rich,3605,55,furniture/equipment,bad
34,female,3,free,rich,little,14303,50,domestic appliances,bad
65,male,3,rent,rich,moderate,5152,47,radio/TV,good
31,male,0,free,moderate,rich,16036,61,radio/TV,bad
50,female,0,free,rich,moderate,10516,62,furniture/equipment,good
28,female,2,own,moderate,little,8530,38,education,bad
30,female,1,rent,quite rich,moderate,15204,33,furniture/equipment,bad
18,female,2,free,quite rich,rich,12246,49,furniture/equipment,bad
51,male,3,own,little,moderate,14296,61,car,good
26,male,3,free,rich,moderate,14455,49,furniture/equipment,good
30,male,3,free,quite rich,moderate,5211,39,education,good
54,female,2,free,moderate,little,282,19,radio/TV,good
47,male,3,free,rich,moderate,4948,34,business,good
58,male,3,free,rich,rich,9137,22,domestic appliances,good
62,female,3,own,moderate,moderate,8966,14,furniture/equipment,good
54,male,0,free,rich,moderate,13585,32,domestic appliances,bad
64,male,1,own,rich,moderate,6427,54,furniture/equipment,good
24,female,0,free,quite rich,little,8688,42,domestic appliances,bad
31,male,0,own,moderate,rich,4176,33,car,bad
65,female,1,rent,quite rich,moderate,15628,55,car,good
23,female,1,free,moderate,rich,10538,60,domestic appliances,bad
51,male,2,rent,little,rich,10404,9,furniture/equipment,good
33,male,1,rent,rich,little,3209,24,furniture/equipment,good
68,male,2,rent,rich,rich,18861,42,education,bad
54,female,2,free,quite rich,moderate,1643,9,radio/TV,good
53,female,0,rent,rich,little,18657,42,radio/TV,good
63,male,3,own,rich,little,13275,56,business,good
23,male,0,free,quite rich,rich,6314,37,radio/TV,good
25,female,0,rent,quite rich,little,6889,50,business,good
41,male,1,free,moderate,rich,2728,17,car,good
20,male,1,rent,little,rich,8179,46,business,good
21,female,2,own,quite rich,little,9423,61,business,good
49,male,2,free,moderate,moderate,11665,19,radio/TV,good
18,male,2,free,quite rich,rich,8668,59,furniture/equipment,bad
51,male,1,rent,moderate,little,17900,68,car,good
62,male,2,own,little,little,2307,70,education,good
26,female,2,free,moderate,rich,13953,63,business,good
29,female,1,rent,moderate,rich,14633,26,business,good
27,female,3,own,rich,rich,14185,9,domestic appliances,bad
27,female,0,own,quite rich,rich,10693,51,business,bad
67,male,1,own,moderate,moderate,3191,17,furniture/equipment,good
61,male,2,own,quite rich,moderate,406,35,education,good
71,male,0,free,moderate,moderate,12505,65,domestic appliances,good
65,male,1,free,rich,moderate,17394,70,radio/TV,bad
40,female,0,own,rich,little,9215,19,car,good
23,male,0,rent,little,rich,17591,49,furniture/equipment,bad
41,male,3,rent,moderate,little,15055,31,education,bad
74,female,2,own,rich,little,16887,21,car,bad
41,female,1,own,quite rich,moderate,18203,12,radio/TV,good
38,female,2,rent,moderate,little,7755,37,car,bad
73,male,3,own,moderate,moderate,12655,21,domestic appliances,bad
59,female,3,own,little,rich,13087,67,business,good
48,male,1,free,quite rich,moderate,9249,35,business,good
64,male,1,free,little,rich,10223,17,furniture/equipment,good
58,female,3,own,moderate,moderate,12105,51,car,bad
47,female,1,own,little,little,19834,48,business,bad
73,female,0,free,moderate,little,6807,60,furniture/equipment,good
51,male,0,own,moderate,moderate,9321,50,furniture/equipment,good
35,male,3,free,little,rich,5338,65,domestic appliances,good
29,male,2,free,little,rich,16634,37,furniture/equipment,bad
52,female,1,rent,moderate,moderate,16800,13,radio/TV,bad
24,male,1,free,little,little,2313,67,business,bad
58,male,0,rent,little,rich,8553,25,business,good
57,male,1,rent,moderate,moderate,11881,23,education,bad
42,male,2,free,quite rich,rich,1375,11,radio/TV,good
23,female,1,own,little,little,2891,34,business,bad
18,male,1,free,little,rich,18063,9,domestic appliances,bad
63,female,0,rent,rich,moderate,10485,48,business,bad
33,female,1,free,quite rich,rich,13044,39,education,good
65,male,3,free,little,rich,18268,38,car,bad
21,male,3,rent,moderate,little,9112,20,car,good
46,female,2,free,rich,little,3361,45,radio/TV,good
55,male,2,free,rich,little,1940,10,furniture/equipment,bad
64,female,2,rent,rich,little,15990,55,education,good
45,male,2,own,little,moderate,15344,71,education,good
39,male,0,rent,moderate,rich,16125,59,business,good
25,female,1,rent,rich,rich,9406,51,domestic appliances,good
49,male,0,free,quite rich,rich,16914,16,business,good
50,female,2,rent,rich,rich,4696,54,domestic appliances,bad
30,female,1,free,rich,moderate,10408,28,education,bad
44,male,3,free,quite rich,little,3058,60,furniture/equipment,good
35,female,0,free,rich,rich,5652,10,car,good
35,male,1,rent,rich,rich,2214,69,radio/TV,good
30,male,3,rent,quite rich,little,17456,40,domestic appliances,good
39,male,3,free,little,little,9879,59,car,good
31,female,2,own,quite rich,rich,2311,8,radio/TV,good
28,male,3,own,little,little,4115,11,furniture/equipment,good
56,male,3,rent,little,rich,4544,61,education,good
67,female,2,free,little,rich,14421,7,furniture/equipment,bad
70,female,1,free,quite rich,rich,13215,43,domestic appliances,bad
39,female,1,rent,quite rich,rich,12478,61,education,bad
53,female,2,own,little,rich,15901,10,business,bad
34,male,0,rent,quite rich,rich,16711,51,radio/TV,bad
68,male,2,rent,little,little,2409,16,business,good
49,male,1,free,quite rich,moderate,13072,70,education,good
31,male,0,rent,moderate,moderate,3437,15,radio/TV,good
59,female,2,own,quite rich,rich,7385,46,radio/TV,good
74,female,1,rent,quite rich,little,13758,49,business,good
46,male,1,free,quite rich,rich,1039,38,radio/TV,good
23,female,1,own,little,little,18197,61,education,bad
67,female,3,free,little,rich,1572,17,domestic appliances,good
74,female,3,rent,moderate,rich,13637,7,domestic appliances,bad
21,female,0,rent,moderate,moderate,6923,6,education,good
28,female,0,rent,rich,little,18136,70,business,bad
62,male,0,free,moderate,little,7366,38,furniture/equipment,good
57,male,3,rent,little,moderate,18293,41,education,good
27,female,0,own,moderate,moderate,9757,26,domestic appliances,good
72,female,1,own,moderate,moderate,3312,41,education,good
45,male,1,free,quite rich,moderate,19696,31,radio/TV,good
28,male,0,free,moderate,little,18704,52,radio/TV,good
52,female,0,free,rich,little,11118,6,education,good
32,female,3,rent,quite rich,moderate,2803,43,business,good
25,female,1,own,little,rich,17678,19,furniture/equipment,good
37,male,2,own,rich,rich,10229,51,radio/TV,bad
67,female,2,own,little,rich,6207,47,domestic appliances,bad
38,female,3,free,rich,rich,11977,12,radio/TV,bad
18,female,3,free,quite rich,little,4828,60,domestic appliances,good
46,female,3,rent,rich,little,5871,61,furniture/equipment,good
41,female,1,free,rich,little,2216,68,radio/TV,good
47,female,0,own,moderate,rich,10798,29,business,bad
57,female,0,rent,little,moderate,14114,9,domestic appliances,good
52,female,3,free,quite rich,rich,18884,47,radio/TV,bad
50,male,1,free,rich,little,11929,33,radio/TV,bad
37,male,2,own,little,rich,15225,45,education,good
74,male,3,rent,little,moderate,14417,56,business,bad
33,female,1,free,moderate,moderate,2264,34,business,good
26,male,3,free,little,rich,4874,47,education,bad
48,male,1,rent,quite rich,little,6118,10,domestic appliances,good
34,male,1,rent,moderate,little,14876,46,car,good
48,male,3,free,rich,little,1054,66,furniture/equipment,bad
65,male,0,free,quite rich,rich,17968,60,business,bad
40,female,3,own,quite rich,little,917,33,car,bad
23,male,0,rent,quite rich,rich,634,46,domestic appliances,good
47,female,0,free,moderate,little,11566,14,furniture/equipment,good
72,female,2,free,little,moderate,19888,34,business,good
24,male,1,free,quite rich,moderate,3690,43,radio/TV,good
73,female,3,free,little,little,19382,67,business,good
65,male,1,own,little,rich,16646,59,furniture/equipment,good
57,female,2,rent,quite rich,little,7976,57,car,good
59,female,0,free,little,rich,11449,39,radio/TV,good
63,male,3,rent,moderate,moderate,5653,42,furniture/equipment,good
28,female,1,rent,moderate,rich,6401,54,domestic appliances,good
51,female,2,free,rich,little,12609,47,furniture/equipment,bad
29,female,0,free,little,moderate,15477,19,business,bad
69,female,0,free,little,rich,10307,38,domestic appliances,good
69,female,1,own,rich,rich,350,22,education,bad
62,female,0,free,moderate,moderate,5228,37,education,good
64,female,2,rent,rich,little,9754,44,radio/TV,good
44,female,0,rent,rich,moderate,11238,15,furniture/equipment,bad
29,male,3,own,rich,little,14781,29,car,good
30,female,3,free,little,little,6784,63,radio/TV,good
25,male,1,free,little,rich,17083,69,domestic appliances,bad
33,male,2,own,little,little,11881,24,radio/TV,good
46,female,0,own,little,little,11943,13,business,good
52,female,0,free,quite rich,moderate,3417,45,domestic appliances,good
46,male,0,free,rich,moderate,5630,18,car,bad
48,male,3,rent,rich,little,14073,32,furniture/equipment,bad
30,male,2,free,little,rich,11879,7,domestic appliances,bad
29,female,0,free,moderate,moderate,4106,21,furniture/equipment,bad
68,female,1,rent,quite rich,rich,1325,19,furniture/equipment,good
19,female,2,rent,quite rich,moderate,16005,22,radio/TV,bad
50,male,2,rent,moderate,moderate,11164,65,business,good
25,female,0,rent,little,little,951,22,radio/TV,good
58,female,3,own,quite rich,moderate,3598,50,education,good
74,female,2,rent,quite rich,moderate,8435,43,education,good
57,female,1,own,rich,rich,7086,69,furniture/equipment,good
70,male,2,rent,rich,moderate,13554,11,business,good
66,female,3,rent,little,moderate,10888,65,domestic appliances,bad
58,female,1,rent,little,rich,2499,54,furniture/equipment,good
49,male,3,free,rich,little,10955,26,domestic appliances,bad
55,female,0,own,rich,little,19856,28,furniture/equipment,bad
45,male,2,rent,rich,moderate,9624,62,radio/TV,good
32,male,1,free,moderate,moderate,8368,69,furniture/equipment,good
40,female,3,own,quite rich,rich,2801,34,furniture/equipment,bad
41,male,0,own,little,little,12800,32,business,good
30,female,1,free,little,little,2464,11,business,good
