Country,Year,Status,Adult Mortality,infant deaths,Alcohol,BMI,GDP,Population,Schooling,Life expectancy
Country A,2007,Developing,184,532,8.84,44.7,18048.5,33603905,10.1,63.1
Country C,2000,Developed,309,882,10.19,27.7,62805.68,23574036,7.7,73.5
Country D,2000,Developed,508,409,4.42,76.9,20259.58,94544809,8.3,69.5
Country D,2009,Developed,281,639,6.63,44.4,54864.78,40120714,11.9,74.4
Country A,2002,Developing,158,587,12.1,10.6,55528.57,94787783,1.2,58.1
Country C,2005,Developed,360,72,4.97,16.5,7580.91,57716455,3.5,66.0
Country A,2006,Developing,259,232,2.48,29.9,45672.31,46936891,4.5,55.9
Country A,2001,Developing,157,854,5.68,16.5,46142.55,69782241,8.2,64.5
Country C,2013,Developing,425,105,1.05,72.6,31947.71,70038580,7.4,56.9
Country A,2005,Developed,606,900,10.77,69.8,27752.0,65479426,14.4,69.8
Country D,2011,Developed,21,8,2.22,78.0,22468.58,38467134,5.2,75.0
Country B,2004,Developed,639,630,4.28,59.5,643.81,48509665,1.1,66.8
Country D,2014,Developed,347,49,13.22,55.2,231.54,21067959,1.1,67.4
Country B,2005,Developing,350,521,8.11,74.6,58999.23,20244614,0.2,51.2
Country C,2000,Developing,385,624,4.83,76.2,29181.82,91899379,0.8,53.0
Country A,2013,Developed,438,441,8.22,71.4,16830.47,30931277,17.2,73.8
Country B,2009,Developed,456,777,3.28,70.3,68489.28,82204007,13.9,68.8
Country C,2006,Developing,624,589,0.39,57.0,52914.01,34578951,19.9,54.6
Country C,2007,Developed,546,35,9.06,10.1,91500.08,13244957,0.4,63.9
Country C,2013,Developed,80,201,10.71,40.1,83110.14,94903775,17.0,79.6
Country D,2006,Developing,452,823,13.2,54.5,72686.58,18867544,13.9,54.8
Country D,2015,Developed,595,117,11.58,48.3,12701.87,76980826,12.8,66.6
Country B,2015,Developed,541,701,13.9,67.5,66625.57,56727998,7.1,67.4
Country B,2008,Developed,489,753,14.79,67.3,69407.95,55727367,7.5,68.7
Country D,2000,Developing,643,804,11.18,51.9,76345.09,11109750,16.9,57.3
Country B,2009,Developed,523,168,13.02,11.5,26350.12,66702415,14.3,69.3
Country B,2008,Developed,392,511,10.11,35.9,64047.74,1841438,13.4,73.5
Country A,2010,Developing,574,229,2.57,26.0,61846.93,1708816,0.6,47.5
Country B,2010,Developing,359,559,2.73,33.7,38561.74,30002191,3.7,55.8
Country C,2012,Developing,33,149,1.66,53.2,66367.52,27216594,19.3,69.0
Country A,2014,Developing,136,854,14.15,14.7,8715.22,98869081,9.1,62.5
Country B,2002,Developing,600,207,10.09,11.6,64368.33,20561816,15.6,58.3
Country A,2001,Developing,410,60,11.85,40.6,60621.26,68793277,7.8,56.1
Country C,2005,Developing,529,842,4.97,65.6,21101.91,34923742,15.3,59.3
Country B,2010,Developed,91,116,6.91,12.1,81830.45,8985357,2.4,71.8
Country A,2004,Developing,413,238,0.61,69.4,87447.68,6344926,0.8,49.2
Country B,2014,Developing,299,882,13.34,36.9,21087.87,72858911,9.3,61.3
Country A,2003,Developing,487,866,12.8,18.3,7642.31,9636873,11.8,56.7
Country A,2003,Developed,73,47,11.77,49.7,60377.37,13958248,6.5,78.0
Country C,2007,Developed,261,447,0.88,76.7,48017.76,40573071,14.3,79.3
Country C,2009,Developing,690,756,2.62,48.0,42788.04,695031,9.9,49.6
Country B,2012,Developing,312,467,5.02,58.1,76112.78,14031039,18.6,61.8
Country D,2002,Developing,685,292,3.95,67.1,96967.78,23662485,1.7,48.8
Country B,2012,Developed,165,424,12.58,66.0,47792.49,16884095,1.3,71.7
