Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000000,Female,Yes,1,Graduate,No,5554,23758,56.0,300,0.0,Semiurban,N
LP000001,Female,Yes,2,Graduate,Yes,12575,15684,624.0,480,1.0,Rural,Y
LP000002,Male,No,0,Graduate,No,71279,38540,11.0,180,1.0,Semiurban,Y
LP000003,Female,No,2,Not Graduate,No,45693,36167,605.0,180,0.0,Semiurban,N
LP000004,Female,No,0,Graduate,Yes,62165,11544,693.0,12,0.0,Urban,N
LP000005,Female,No,2,Graduate,Yes,68362,30298,337.0,36,1.0,Rural,Y
LP000006,Female,Yes,3+,Graduate,Yes,59127,6737,241.0,120,1.0,Urban,Y
LP000007,Female,Yes,0,Graduate,Yes,5415,7929,684.0,60,0.0,Semiurban,Y
LP000008,Male,Yes,0,Not Graduate,Yes,47662,608,68.0,36,1.0,Semiurban,Y
LP000009,Male,Yes,1,Not Graduate,Yes,57076,16995,598.0,360,1.0,Urban,Y
LP000010,Male,Yes,1,Not Graduate,Yes,36779,33788,538.0,480,0.0,Urban,N
LP000011,Female,Yes,0,Not Graduate,Yes,70640,240,105.0,240,0.0,Semiurban,N
LP000012,Female,No,3+,Graduate,No,66798,2052,74.0,12,0.0,Rural,Y
LP000013,Male,No,2,Not Graduate,No,66798,5334,39.0,12,1.0,Urban,Y
LP000014,Female,Yes,1,Graduate,Yes,16883,34370,156.0,60,0.0,Rural,N
LP000015,Male,Yes,1,Graduate,Yes,36880,10596,668.0,480,0.0,Semiurban,N
LP000016,Male,Yes,1,Graduate,No,23862,20873,55.0,180,0.0,Urban,N
LP000017,Male,Yes,1,Graduate,Yes,65728,31898,252.0,36,0.0,Urban,N
LP000018,Male,Yes,3+,Not Graduate,Yes,71563,18460,265.0,300,0.0,Semiurban,N
LP000019,Male,No,0,Not Graduate,Yes,27031,14128,486.0,84,1.0,Urban,Y
LP000020,Female,No,2,Graduate,No,71660,26022,603.0,300,0.0,Urban,N
LP000021,Female,No,1,Not Graduate,No,15668,39877,364.0,240,0.0,Rural,Y
LP000022,Female,Yes,3+,Not Graduate,No,15641,31943,662.0,36,1.0,Urban,Y
LP000023,Female,Yes,3+,Graduate,No,48836,3516,649.0,360,0.0,Rural,N
LP000024,Male,No,1,Not Graduate,Yes,32494,37197,461.0,120,1.0,Urban,Y
LP000025,Male,Yes,2,Graduate,Yes,79042,10469,530.0,180,1.0,Urban,Y
LP000026,Male,Yes,1,Graduate,No,46219,18235,185.0,36,0.0,Semiurban,N
LP000027,Male,Yes,3+,Graduate,No,46423,16248,218.0,60,0.0,Semiurban,N
LP000028,Female,Yes,2,Not Graduate,No,50588,32074,50.0,480,1.0,Urban,Y
LP000029,Male,No,3+,Graduate,Yes,59976,36199,132.0,300,0.0,Rural,Y
LP000030,Male,Yes,0,Graduate,No,78503,15946,195.0,120,0.0,Semiurban,N
LP000031,Male,No,3+,Graduate,No,55308,27830,33.0,480,0.0,Semiurban,N
LP000032,Female,Yes,1,Not Graduate,Yes,11710,4482,172.0,12,0.0,Semiurban,N
LP000033,Male,No,2,Graduate,Yes,59610,6252,43.0,360,0.0,Urban,Y
LP000034,Male,No,1,Graduate,No,50350,22866,261.0,12,1.0,Rural,Y
LP000035,Male,Yes,0,Graduate,No,51917,3271,483.0,360,1.0,Rural,Y
LP000036,Female,No,2,Graduate,Yes,17046,27828,478.0,480,1.0,Urban,Y
LP000037,Female,No,2,Not Graduate,Yes,22647,10804,530.0,180,1.0,Semiurban,Y
LP000038,Male,No,2,Graduate,No,35019,30455,272.0,240,1.0,Rural,Y
LP000039,Female,No,3+,Not Graduate,Yes,44567,3508,113.0,12,1.0,Rural,Y
LP000040,Female,No,1,Graduate,No,5718,39744,228.0,480,0.0,Urban,N
LP000041,Male,Yes,2,Not Graduate,No,43421,20276,415.0,12,0.0,Rural,N
LP000042,Female,No,2,Graduate,Yes,19202,35879,654.0,120,1.0,Rural,Y
LP000043,Female,Yes,2,Not Graduate,No,44163,20701,214.0,36,1.0,Semiurban,Y
LP000044,Male,No,0,Not Graduate,Yes,19649,25628,644.0,480,0.0,Semiurban,N
LP000045,Male,No,2,Graduate,Yes,1457,33694,224.0,120,0.0,Semiurban,N
LP000046,Female,Yes,3+,Graduate,No,76072,29897,72.0,120,0.0,Rural,N
LP000047,Male,No,3+,Graduate,Yes,22093,27618,46.0,180,1.0,Semiurban,Y
LP000048,Female,No,2,Not Graduate,Yes,77353,38695,673.0,360,1.0,Urban,N
LP000049,Male,No,3+,Not Graduate,No,75647,2095,230.0,180,0.0,Semiurban,N
LP000050,Female,Yes,3+,Not Graduate,No,35512,9018,350.0,480,1.0,Semiurban,Y
LP000051,Male,Yes,2,Not Graduate,Yes,17766,37463,481.0,12,1.0,Rural,Y
LP000052,Female,No,3+,Graduate,No,5117,33537,544.0,120,0.0,Semiurban,N
LP000053,Female,Yes,0,Not Graduate,No,41684,23098,365.0,36,0.0,Urban,N
LP000054,Female,No,2,Graduate,Yes,16615,28546,514.0,300,0.0,Semiurban,N
LP000055,Female,Yes,1,Not Graduate,Yes,57756,9264,587.0,240,1.0,Semiurban,Y
LP000056,Female,Yes,3+,Graduate,No,77868,5367,243.0,180,0.0,Urban,N
LP000057,Female,Yes,2,Not Graduate,Yes,20079,30525,610.0,36,1.0,Urban,Y
LP000058,Female,No,1,Not Graduate,No,22980,21014,102.0,60,0.0,Semiurban,N
LP000059,Female,Yes,0,Graduate,No,50757,24082,197.0,360,0.0,Rural,N
LP000060,Male,No,0,Not Graduate,No,16628,27059,657.0,360,0.0,Urban,Y
LP000061,Female,Yes,2,Not Graduate,No,65236,15163,693.0,240,0.0,Urban,N
LP000062,Male,No,2,Not Graduate,Yes,51339,5502,24.0,36,1.0,Rural,Y
LP000063,Male,No,0,Graduate,Yes,16138,26874,383.0,240,0.0,Urban,N
LP000064,Female,Yes,0,Not Graduate,Yes,10591,14576,372.0,12,0.0,Urban,Y
